eventName,time,subjectName,objectBehavior
ObjectHasChangedBehavior,2020-06-09 16:07:19:565,Minetto,null
ObjectHasChangedBehavior,2020-06-09 16:07:19:565,Minetto,null
ObjectHasChangedBehavior,2020-06-09 16:07:19:567,Laura,null
ObjectHasChangedBehavior,2020-06-09 16:07:19:567,Laura,null
PersonEntersZone,2020-06-09 16:07:19:569,Indoor,34486de5-8731-4e5a-908f-dc1bf25db124
PersonEntersZone,2020-06-09 16:07:19:569,Indoor,34486de5-8731-4e5a-908f-dc1bf25db124
PersonEntersZone,2020-06-09 16:07:19:570,Dress room,34486de5-8731-4e5a-908f-dc1bf25db124
PersonEntersZone,2020-06-09 16:07:19:570,Dress room,34486de5-8731-4e5a-908f-dc1bf25db124
ObjectHasChangedBehavior,2020-06-09 16:07:22:567,Minetto,null
PersonExitsZone,2020-06-09 16:07:22:567,Garage,067abaec-0786-4e52-a4af-2b55cf30e944
PersonExitsZone,2020-06-09 16:07:22:567,Garage,067abaec-0786-4e52-a4af-2b55cf30e944
PersonEntersZone,2020-06-09 16:07:22:567,Livingroom,067abaec-0786-4e52-a4af-2b55cf30e944
PersonEntersZone,2020-06-09 16:07:22:567,Livingroom,067abaec-0786-4e52-a4af-2b55cf30e944
ObjectHasChangedBehavior,2020-06-09 16:07:22:567,Minetto,null
ObjectHasChangedBehavior,2020-06-09 16:07:25:566,Laura,null
ObjectHasChangedBehavior,2020-06-09 16:07:25:566,Laura,null
PersonEntersZone,2020-06-09 16:07:25:566,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124
PersonEntersZone,2020-06-09 16:07:25:566,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124
PersonExitsZone,2020-06-09 16:07:25:566,Dress room,34486de5-8731-4e5a-908f-dc1bf25db124
PersonExitsZone,2020-06-09 16:07:25:566,Dress room,34486de5-8731-4e5a-908f-dc1bf25db124
ObjectHasChangedBehavior,2020-06-09 16:07:25:576,Minetto,null
ObjectHasChangedBehavior,2020-06-09 16:07:25:576,Minetto,null
ObjectHasChangedBehavior,2020-06-09 16:07:28:566,Laura,null
ObjectHasChangedBehavior,2020-06-09 16:07:28:566,Laura,null
PersonExitsZone,2020-06-09 16:07:28:567,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124
PersonExitsZone,2020-06-09 16:07:28:567,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124
PersonEntersZone,2020-06-09 16:07:28:567,Utility room,34486de5-8731-4e5a-908f-dc1bf25db124
PersonEntersZone,2020-06-09 16:07:28:567,Utility room,34486de5-8731-4e5a-908f-dc1bf25db124
ObjectHasChangedBehavior,2020-06-09 16:07:31:569,Laura,null
ObjectHasChangedBehavior,2020-06-09 16:07:31:569,Laura,null
PersonEntersZone,2020-06-09 16:07:31:570,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124
PersonEntersZone,2020-06-09 16:07:31:570,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124
PersonExitsZone,2020-06-09 16:07:31:571,Utility room,34486de5-8731-4e5a-908f-dc1bf25db124
